train_size,model,finding,f1,j_stat,mcc
2750,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
2750,pt-radiobert-base-german-cased,Misplaced Medical Device,0.65,0.9,0.67
2750,bert-base-german-cased,Congestion,0.91,0.86,0.88
2750,bert-base-german-cased,Opacity,0.91,0.83,0.81
2750,bert-base-german-cased,Effusion,0.94,0.89,0.89
2750,bert-base-german-cased,Pneumothorax,0.9,0.86,0.9
2750,bert-base-german-cased,Thoracic drain,0.93,0.89,0.91
2750,bert-base-german-cased,Venous Catheter,0.97,0.93,0.93
2750,bert-base-german-cased,Gastric Tube,0.97,0.95,0.96
2750,bert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
2750,bert-base-german-cased,Misplaced Medical Device,0.47,0.77,0.5
2750,pt-radiobert-from-scratch,Congestion,0.74,0.67,0.66
2750,pt-radiobert-from-scratch,Opacity,0.88,0.73,0.72
2750,pt-radiobert-from-scratch,Effusion,0.91,0.84,0.84
2750,pt-radiobert-from-scratch,Pneumothorax,0.77,0.75,0.75
2750,pt-radiobert-from-scratch,Thoracic drain,0.91,0.86,0.88
2750,pt-radiobert-from-scratch,Venous Catheter,0.97,0.93,0.93
2750,pt-radiobert-from-scratch,Gastric Tube,0.93,0.89,0.9
2750,pt-radiobert-from-scratch,Tracheal tube/canula,0.96,0.92,0.93
2750,pt-radiobert-from-scratch,Misplaced Medical Device,0.46,0.69,0.48
2750,bert-base-multilingual-cased,Congestion,0.9,0.85,0.88
2750,bert-base-multilingual-cased,Opacity,0.91,0.82,0.8
2750,bert-base-multilingual-cased,Effusion,0.94,0.88,0.89
2750,bert-base-multilingual-cased,Pneumothorax,0.88,0.82,0.87
2750,bert-base-multilingual-cased,Thoracic drain,0.94,0.9,0.92
2750,bert-base-multilingual-cased,Venous Catheter,0.98,0.95,0.95
2750,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
2750,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.96
2750,bert-base-multilingual-cased,Misplaced Medical Device,0.28,0.76,0.35
3000,pt-radiobert-base-german-cased,Congestion,0.91,0.86,0.89
3000,pt-radiobert-base-german-cased,Opacity,0.91,0.82,0.81
3000,pt-radiobert-base-german-cased,Effusion,0.94,0.88,0.89
3000,pt-radiobert-base-german-cased,Pneumothorax,0.87,0.81,0.86
3000,pt-radiobert-base-german-cased,Thoracic drain,0.93,0.89,0.91
3000,pt-radiobert-base-german-cased,Venous Catheter,0.98,0.95,0.94
3000,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
3000,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
3000,pt-radiobert-base-german-cased,Misplaced Medical Device,0.72,0.91,0.73
3000,bert-base-german-cased,Congestion,0.9,0.84,0.87
3000,bert-base-german-cased,Opacity,0.91,0.82,0.81
3000,bert-base-german-cased,Effusion,0.93,0.87,0.88
3000,bert-base-german-cased,Pneumothorax,0.85,0.76,0.85
3000,bert-base-german-cased,Thoracic drain,0.93,0.9,0.91
3000,bert-base-german-cased,Venous Catheter,0.98,0.95,0.94
3000,bert-base-german-cased,Gastric Tube,0.98,0.96,0.97
3000,bert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
3000,bert-base-german-cased,Misplaced Medical Device,0.67,0.84,0.67
3000,pt-radiobert-from-scratch,Congestion,0.85,0.8,0.8
3000,pt-radiobert-from-scratch,Opacity,0.88,0.76,0.74
3000,pt-radiobert-from-scratch,Effusion,0.92,0.86,0.86
3000,pt-radiobert-from-scratch,Pneumothorax,0.77,0.74,0.76
3000,pt-radiobert-from-scratch,Thoracic drain,0.93,0.91,0.91
3000,pt-radiobert-from-scratch,Venous Catheter,0.97,0.94,0.93
3000,pt-radiobert-from-scratch,Gastric Tube,0.95,0.92,0.93
3000,pt-radiobert-from-scratch,Tracheal tube/canula,0.98,0.95,0.96
3000,pt-radiobert-from-scratch,Misplaced Medical Device,0.53,0.87,0.57
3000,bert-base-multilingual-cased,Congestion,0.91,0.85,0.88
3000,bert-base-multilingual-cased,Opacity,0.9,0.8,0.79
3000,bert-base-multilingual-cased,Effusion,0.93,0.87,0.87
3000,bert-base-multilingual-cased,Pneumothorax,0.92,0.85,0.91
3000,bert-base-multilingual-cased,Thoracic drain,0.95,0.92,0.93
3000,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.93
3000,bert-base-multilingual-cased,Gastric Tube,0.98,0.96,0.97
3000,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.96
3000,bert-base-multilingual-cased,Misplaced Medical Device,0.34,0.96,0.45
3250,pt-radiobert-base-german-cased,Congestion,0.89,0.83,0.86
3250,pt-radiobert-base-german-cased,Opacity,0.91,0.82,0.81
3250,pt-radiobert-base-german-cased,Effusion,0.95,0.9,0.91
3250,pt-radiobert-base-german-cased,Pneumothorax,0.86,0.79,0.85
3250,pt-radiobert-base-german-cased,Thoracic drain,0.93,0.89,0.92
3250,pt-radiobert-base-german-cased,Venous Catheter,0.98,0.96,0.96
3250,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.94,0.95
3250,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
3250,pt-radiobert-base-german-cased,Misplaced Medical Device,0.71,0.81,0.71
3250,bert-base-german-cased,Congestion,0.91,0.86,0.89
3250,bert-base-german-cased,Opacity,0.92,0.85,0.83
3250,bert-base-german-cased,Effusion,0.94,0.89,0.9
3250,bert-base-german-cased,Pneumothorax,0.87,0.8,0.86
3250,bert-base-german-cased,Thoracic drain,0.94,0.91,0.93
3250,bert-base-german-cased,Venous Catheter,0.98,0.96,0.96
3250,bert-base-german-cased,Gastric Tube,0.97,0.95,0.96
3250,bert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
3250,bert-base-german-cased,Misplaced Medical Device,0.7,0.85,0.7
3250,pt-radiobert-from-scratch,Congestion,0.85,0.8,0.8
3250,pt-radiobert-from-scratch,Opacity,0.9,0.8,0.79
3250,pt-radiobert-from-scratch,Effusion,0.92,0.86,0.86
3250,pt-radiobert-from-scratch,Pneumothorax,0.86,0.84,0.85
3250,pt-radiobert-from-scratch,Thoracic drain,0.92,0.88,0.9
3250,pt-radiobert-from-scratch,Venous Catheter,0.96,0.92,0.91
3250,pt-radiobert-from-scratch,Gastric Tube,0.96,0.93,0.95
3250,pt-radiobert-from-scratch,Tracheal tube/canula,0.96,0.93,0.94
3250,pt-radiobert-from-scratch,Misplaced Medical Device,0.51,0.79,0.54
3250,bert-base-multilingual-cased,Congestion,0.93,0.88,0.9
3250,bert-base-multilingual-cased,Opacity,0.93,0.85,0.84
3250,bert-base-multilingual-cased,Effusion,0.93,0.86,0.87
3250,bert-base-multilingual-cased,Pneumothorax,0.87,0.79,0.87
3250,bert-base-multilingual-cased,Thoracic drain,0.95,0.92,0.93
3250,bert-base-multilingual-cased,Venous Catheter,0.98,0.95,0.95
3250,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
3250,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.97
3250,bert-base-multilingual-cased,Misplaced Medical Device,0.56,0.8,0.58
3500,pt-radiobert-base-german-cased,Congestion,0.89,0.82,0.86
3500,pt-radiobert-base-german-cased,Opacity,0.91,0.82,0.8
3500,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.88
3500,pt-radiobert-base-german-cased,Pneumothorax,0.89,0.82,0.89
3500,pt-radiobert-base-german-cased,Thoracic drain,0.92,0.88,0.9
3500,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.93
3500,pt-radiobert-base-german-cased,Gastric Tube,0.98,0.96,0.97
3500,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
3500,pt-radiobert-base-german-cased,Misplaced Medical Device,0.57,0.88,0.6
3500,bert-base-german-cased,Congestion,0.89,0.83,0.86
3500,bert-base-german-cased,Opacity,0.91,0.83,0.81
3500,bert-base-german-cased,Effusion,0.93,0.86,0.87
3500,bert-base-german-cased,Pneumothorax,0.84,0.75,0.83
3500,bert-base-german-cased,Thoracic drain,0.93,0.89,0.91
3500,bert-base-german-cased,Venous Catheter,0.98,0.95,0.94
3500,bert-base-german-cased,Gastric Tube,0.98,0.96,0.97
3500,bert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.96
3500,bert-base-german-cased,Misplaced Medical Device,0.67,0.84,0.67
3500,pt-radiobert-from-scratch,Congestion,0.85,0.82,0.81
3500,pt-radiobert-from-scratch,Opacity,0.89,0.77,0.76
3500,pt-radiobert-from-scratch,Effusion,0.91,0.84,0.84
3500,pt-radiobert-from-scratch,Pneumothorax,0.86,0.84,0.85
3500,pt-radiobert-from-scratch,Thoracic drain,0.93,0.87,0.9
3500,pt-radiobert-from-scratch,Venous Catheter,0.97,0.94,0.93
3500,pt-radiobert-from-scratch,Gastric Tube,0.97,0.94,0.95
3500,pt-radiobert-from-scratch,Tracheal tube/canula,0.97,0.94,0.95
3500,pt-radiobert-from-scratch,Misplaced Medical Device,0.45,0.97,0.53
3500,bert-base-multilingual-cased,Congestion,0.9,0.84,0.87
3500,bert-base-multilingual-cased,Opacity,0.92,0.83,0.81
3500,bert-base-multilingual-cased,Effusion,0.94,0.88,0.88
3500,bert-base-multilingual-cased,Pneumothorax,0.86,0.78,0.85
3500,bert-base-multilingual-cased,Thoracic drain,0.95,0.92,0.93
3500,bert-base-multilingual-cased,Venous Catheter,0.97,0.93,0.93
3500,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
3500,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.95,0.96
3500,bert-base-multilingual-cased,Misplaced Medical Device,0.61,0.89,0.64
3750,pt-radiobert-base-german-cased,Congestion,0.91,0.84,0.88
3750,pt-radiobert-base-german-cased,Opacity,0.91,0.81,0.8
3750,pt-radiobert-base-german-cased,Effusion,0.93,0.86,0.87
3750,pt-radiobert-base-german-cased,Pneumothorax,0.89,0.84,0.88
3750,pt-radiobert-base-german-cased,Thoracic drain,0.95,0.92,0.94
3750,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.94,0.93
3750,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
3750,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.97
3750,pt-radiobert-base-german-cased,Misplaced Medical Device,0.62,0.78,0.62
3750,bert-base-german-cased,Congestion,0.9,0.86,0.87
3750,bert-base-german-cased,Opacity,0.92,0.84,0.83
3750,bert-base-german-cased,Effusion,0.94,0.89,0.89
3750,bert-base-german-cased,Pneumothorax,0.89,0.82,0.89
3750,bert-base-german-cased,Thoracic drain,0.93,0.89,0.91
3750,bert-base-german-cased,Venous Catheter,0.98,0.95,0.95
3750,bert-base-german-cased,Gastric Tube,0.97,0.95,0.96
3750,bert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
3750,bert-base-german-cased,Misplaced Medical Device,0.57,0.88,0.6
3750,pt-radiobert-from-scratch,Congestion,0.88,0.84,0.84
3750,pt-radiobert-from-scratch,Opacity,0.9,0.78,0.77
3750,pt-radiobert-from-scratch,Effusion,0.93,0.88,0.88
3750,pt-radiobert-from-scratch,Pneumothorax,0.87,0.86,0.86
3750,pt-radiobert-from-scratch,Thoracic drain,0.92,0.87,0.9
3750,pt-radiobert-from-scratch,Venous Catheter,0.97,0.93,0.92
3750,pt-radiobert-from-scratch,Gastric Tube,0.95,0.93,0.94
3750,pt-radiobert-from-scratch,Tracheal tube/canula,0.97,0.95,0.95
3750,pt-radiobert-from-scratch,Misplaced Medical Device,0.5,0.97,0.57
3750,bert-base-multilingual-cased,Congestion,0.89,0.84,0.86
3750,bert-base-multilingual-cased,Opacity,0.92,0.83,0.82
3750,bert-base-multilingual-cased,Effusion,0.94,0.9,0.9
3750,bert-base-multilingual-cased,Pneumothorax,0.87,0.8,0.86
3750,bert-base-multilingual-cased,Thoracic drain,0.95,0.93,0.94
3750,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.93
3750,bert-base-multilingual-cased,Gastric Tube,0.98,0.96,0.97
3750,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.97
3750,bert-base-multilingual-cased,Misplaced Medical Device,0.7,0.85,0.7
4000,pt-radiobert-base-german-cased,Congestion,0.89,0.83,0.86
4000,pt-radiobert-base-german-cased,Opacity,0.91,0.81,0.8
4000,pt-radiobert-base-german-cased,Effusion,0.94,0.88,0.88
4000,pt-radiobert-base-german-cased,Pneumothorax,0.86,0.84,0.85
4000,pt-radiobert-base-german-cased,Thoracic drain,0.95,0.91,0.93
4000,pt-radiobert-base-german-cased,Venous Catheter,0.98,0.95,0.95
4000,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
4000,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
4000,pt-radiobert-base-german-cased,Misplaced Medical Device,0.76,0.87,0.76
4000,bert-base-german-cased,Congestion,0.9,0.85,0.87
4000,bert-base-german-cased,Opacity,0.92,0.85,0.84
4000,bert-base-german-cased,Effusion,0.92,0.85,0.85
4000,bert-base-german-cased,Pneumothorax,0.89,0.84,0.88
4000,bert-base-german-cased,Thoracic drain,0.95,0.91,0.93
4000,bert-base-german-cased,Venous Catheter,0.98,0.96,0.95
4000,bert-base-german-cased,Gastric Tube,0.97,0.95,0.96
4000,bert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.96
4000,bert-base-german-cased,Misplaced Medical Device,0.59,0.82,0.61
4000,pt-radiobert-from-scratch,Congestion,0.86,0.81,0.82
4000,pt-radiobert-from-scratch,Opacity,0.89,0.78,0.77
4000,pt-radiobert-from-scratch,Effusion,0.92,0.86,0.86
4000,pt-radiobert-from-scratch,Pneumothorax,0.86,0.79,0.85
4000,pt-radiobert-from-scratch,Thoracic drain,0.91,0.88,0.89
4000,pt-radiobert-from-scratch,Venous Catheter,0.97,0.93,0.93
4000,pt-radiobert-from-scratch,Gastric Tube,0.96,0.94,0.95
4000,pt-radiobert-from-scratch,Tracheal tube/canula,0.98,0.95,0.96
4000,pt-radiobert-from-scratch,Misplaced Medical Device,0.33,0.79,0.4
4000,bert-base-multilingual-cased,Congestion,0.9,0.85,0.87
4000,bert-base-multilingual-cased,Opacity,0.92,0.84,0.83
4000,bert-base-multilingual-cased,Effusion,0.93,0.87,0.88
4000,bert-base-multilingual-cased,Pneumothorax,0.85,0.81,0.84
4000,bert-base-multilingual-cased,Thoracic drain,0.95,0.92,0.94
4000,bert-base-multilingual-cased,Venous Catheter,0.98,0.95,0.95
4000,bert-base-multilingual-cased,Gastric Tube,0.98,0.96,0.97
4000,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.97
4000,bert-base-multilingual-cased,Misplaced Medical Device,0.76,0.87,0.76
4500,pt-radiobert-base-german-cased,Congestion,0.91,0.86,0.89
4500,pt-radiobert-base-german-cased,Opacity,0.92,0.83,0.82
4500,pt-radiobert-base-german-cased,Effusion,0.93,0.86,0.87
4500,pt-radiobert-base-german-cased,Pneumothorax,0.87,0.8,0.86
4500,pt-radiobert-base-german-cased,Thoracic drain,0.94,0.9,0.92
4500,pt-radiobert-base-german-cased,Venous Catheter,0.98,0.95,0.95
4500,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
4500,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.96
4500,pt-radiobert-base-german-cased,Misplaced Medical Device,0.76,0.79,0.75
4500,bert-base-german-cased,Congestion,0.91,0.86,0.89
4500,bert-base-german-cased,Opacity,0.92,0.84,0.83
4500,bert-base-german-cased,Effusion,0.93,0.88,0.88
4500,bert-base-german-cased,Pneumothorax,0.83,0.78,0.82
4500,bert-base-german-cased,Thoracic drain,0.95,0.92,0.94
4500,bert-base-german-cased,Venous Catheter,0.98,0.95,0.95
4500,bert-base-german-cased,Gastric Tube,0.98,0.96,0.97
4500,bert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
4500,bert-base-german-cased,Misplaced Medical Device,0.71,0.81,0.71
4500,pt-radiobert-from-scratch,Congestion,0.86,0.81,0.82
4500,pt-radiobert-from-scratch,Opacity,0.9,0.79,0.78
4500,pt-radiobert-from-scratch,Effusion,0.92,0.85,0.85
4500,pt-radiobert-from-scratch,Pneumothorax,0.88,0.84,0.86
4500,pt-radiobert-from-scratch,Thoracic drain,0.91,0.86,0.89
4500,pt-radiobert-from-scratch,Venous Catheter,0.97,0.94,0.94
4500,pt-radiobert-from-scratch,Gastric Tube,0.95,0.92,0.93
4500,pt-radiobert-from-scratch,Tracheal tube/canula,0.97,0.95,0.96
4500,pt-radiobert-from-scratch,Misplaced Medical Device,0.58,0.76,0.59
4500,bert-base-multilingual-cased,Congestion,0.87,0.82,0.83
4500,bert-base-multilingual-cased,Opacity,0.92,0.83,0.83
4500,bert-base-multilingual-cased,Effusion,0.94,0.89,0.9
4500,bert-base-multilingual-cased,Pneumothorax,0.88,0.83,0.87
4500,bert-base-multilingual-cased,Thoracic drain,0.94,0.9,0.92
4500,bert-base-multilingual-cased,Venous Catheter,0.98,0.95,0.95
4500,bert-base-multilingual-cased,Gastric Tube,0.98,0.96,0.97
4500,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.95,0.96
4500,bert-base-multilingual-cased,Misplaced Medical Device,0.78,0.92,0.78
4703,pt-radiobert-base-german-cased,Congestion,0.89,0.83,0.86
4703,pt-radiobert-base-german-cased,Opacity,0.92,0.86,0.84
4703,pt-radiobert-base-german-cased,Effusion,0.94,0.88,0.88
4703,pt-radiobert-base-german-cased,Pneumothorax,0.87,0.8,0.86
4703,pt-radiobert-base-german-cased,Thoracic drain,0.95,0.92,0.93
4703,pt-radiobert-base-german-cased,Venous Catheter,0.98,0.95,0.95
4703,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
4703,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
4703,pt-radiobert-base-german-cased,Misplaced Medical Device,0.75,0.92,0.76
4703,bert-base-german-cased,Congestion,0.9,0.85,0.87
4703,bert-base-german-cased,Opacity,0.92,0.83,0.82
4703,bert-base-german-cased,Effusion,0.95,0.9,0.91
4703,bert-base-german-cased,Pneumothorax,0.83,0.77,0.82
4703,bert-base-german-cased,Thoracic drain,0.95,0.91,0.93
4703,bert-base-german-cased,Venous Catheter,0.98,0.95,0.95
4703,bert-base-german-cased,Gastric Tube,0.97,0.94,0.96
4703,bert-base-german-cased,Tracheal tube/canula,0.98,0.96,0.96
4703,bert-base-german-cased,Misplaced Medical Device,0,0,0
4703,pt-radiobert-from-scratch,Congestion,0.88,0.83,0.84
4703,pt-radiobert-from-scratch,Opacity,0.9,0.81,0.79
4703,pt-radiobert-from-scratch,Effusion,0.93,0.88,0.88
4703,pt-radiobert-from-scratch,Pneumothorax,0.75,0.71,0.73
4703,pt-radiobert-from-scratch,Thoracic drain,0.94,0.91,0.92
4703,pt-radiobert-from-scratch,Venous Catheter,0.98,0.95,0.95
4703,pt-radiobert-from-scratch,Gastric Tube,0.96,0.93,0.95
4703,pt-radiobert-from-scratch,Tracheal tube/canula,0.97,0.95,0.95
4703,pt-radiobert-from-scratch,Misplaced Medical Device,0.34,0.96,0.45
4703,bert-base-multilingual-cased,Congestion,0.91,0.85,0.88
4703,bert-base-multilingual-cased,Opacity,0.92,0.83,0.82
4703,bert-base-multilingual-cased,Effusion,0.94,0.89,0.9
4703,bert-base-multilingual-cased,Pneumothorax,0.87,0.76,0.86
4703,bert-base-multilingual-cased,Thoracic drain,0.96,0.93,0.95
4703,bert-base-multilingual-cased,Venous Catheter,0.98,0.95,0.95
4703,bert-base-multilingual-cased,Gastric Tube,0.98,0.96,0.97
4703,bert-base-multilingual-cased,Tracheal tube/canula,0.98,0.96,0.96
4703,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
